node,,name,xvalue,yvalue
233,,사천시,128.0638649,35.0034774
234,,김해시,128.889322,35.228574
235,,밀양시,128.746712,35.503856
236,,거제시,128.6211703,34.8804572
237,,양산시,129.037339,35.335049
238,,의령군,128.261676,35.3222239
239,,함안군,128.406595,35.272315
240,,창녕군,128.492346,35.544611
241,,고성군,128.3222643,34.9730975
242,,남해군,127.892475,34.837707
243,,하동군,127.751275,35.067333
244,,산청군,127.873458,35.415557
245,,함양군,127.725245,35.520536
246,,거창군,127.909538,35.686698
247,,합천군,128.165799,35.56666
248,제주,제주시,126.531138,33.499568
249,,서귀포시,126.5597875,33.253925
250,세종,세종시,127.2894325,36.4803512
